,data,godzina,dom,wyjazd,wynik
267,1992-05-30,,Olimpia Poznań,FKS Stal Mielec,1:1
268,1992-05-30,,Hutnik Kraków,GKS Katowice,3:0
269,1992-05-30,,ŁKS Łódź,Motor Lublin,2:0
270,1992-06-03,,ŁKS Łódź,Śląsk Wrocław,1:1
271,1992-06-03,,Motor Lublin,Hutnik Kraków,2:2
272,1992-06-03,,GKS Katowice,Olimpia Poznań,3:0
273,1992-06-03,,FKS Stal Mielec,Legia Warszawa,0:0
274,1992-06-03,,Igloopol Debica,Zagłębie Sosnowiec,0:2
275,1992-06-03,,Górnik Zabrze,Zawisza Bydgoszcz,0:0
276,1992-06-03,,Lech Poznań,Ruch Chorzów,1:1
277,1992-06-03,,Zagłębie Lubin,Stal Stalowa Wola,0:1
278,1992-06-03,,Wisła Kraków,Widzew Łódź,0:0
279,1992-06-06,,Śląsk Wrocław,Wisła Kraków,1:0
280,1992-06-06,,Widzew Łódź,Zagłębie Lubin,1:0
281,1992-06-06,,Stal Stalowa Wola,Lech Poznań,1:2
282,1992-06-06,,Ruch Chorzów,Górnik Zabrze,1:0
283,1992-06-06,,Zawisza Bydgoszcz,Igloopol Debica,4:2
284,1992-06-06,,Zagłębie Sosnowiec,FKS Stal Mielec,0:0
285,1992-06-06,,Legia Warszawa,GKS Katowice,0:2
286,1992-06-06,,Olimpia Poznań,Motor Lublin,0:0
287,1992-06-06,,Hutnik Kraków,ŁKS Łódź,2:1
288,1992-06-14,,Hutnik Kraków,Śląsk Wrocław,1:1
289,1992-06-14,,ŁKS Łódź,Olimpia Poznań,0:1
290,1992-06-14,,Motor Lublin,Legia Warszawa,0:3
291,1992-06-14,,GKS Katowice,Zagłębie Sosnowiec,5:0
292,1992-06-14,,FKS Stal Mielec,Zawisza Bydgoszcz,4:1
293,1992-06-14,,Igloopol Debica,Ruch Chorzów,0:3
294,1992-06-14,,Górnik Zabrze,Stal Stalowa Wola,2:1
295,1992-06-14,,Lech Poznań,Widzew Łódź,3:3
296,1992-06-14,,Zagłębie Lubin,Wisła Kraków,1:1
297,1992-06-21,,Śląsk Wrocław,Zagłębie Lubin,0:0
298,1992-06-21,,Wisła Kraków,Lech Poznań,0:2
299,1992-06-21,,Widzew Łódź,Górnik Zabrze,1:0
300,1992-06-21,,Stal Stalowa Wola,Igloopol Debica,2:0
301,1992-06-21,,Ruch Chorzów,FKS Stal Mielec,2:0
